Date,Close,High,Low,Open,Volume
2020-01-01,249.6965789794922,254.72589629305344,247.6010277302806,252.1181105520166,6952048
2020-01-02,257.473388671875,257.98562312487184,252.90972133689667,253.32884292406186,10780926
2020-01-03,253.7479705810547,257.47339483081737,252.16465390581297,257.47339483081737,5943349
2020-01-06,246.11085510253906,252.1646698921947,244.29469929654908,251.93183086182333,4529599
2020-01-07,247.04222106933594,251.60586056194174,245.03981101288724,247.8804359275314,4465297
2020-01-08,244.48098754882812,246.34369983491442,239.35852876209077,243.45649010693387,8088132
2020-01-09,259.0101013183594,260.0345985713956,249.32400490081355,249.32400490081355,13317832
2020-01-10,258.8238220214844,260.7796752705594,256.12289535501367,258.9169633043411,7625227
2020-01-13,259.475830078125,260.6865817087142,256.49547901750424,258.96356714000325,4540953
2020-01-14,261.617919921875,264.5051294845984,258.9169929461914,258.9169929461914,7428691
2020-01-15,263.1081237792969,263.9463386660821,257.28714758948945,260.6400355593656,5538475
2020-01-16,258.40478515625,263.43410287574204,257.1940050608958,263.1081225261184,4791447
2020-01-17,254.58621215820312,260.3606032996847,254.12053407795133,257.7993738582999,4733742
2020-01-20,252.72349548339844,256.1229397261257,250.20882252426657,254.72590550943775,3823115
2020-01-21,248.90492248535156,252.30436663082003,246.20399542824237,251.46615180933554,4799667
2020-01-22,247.60101318359375,250.8141745233036,246.57651583740014,249.88281846726053,3334351
2020-01-23,248.34608459472656,250.4882205594558,245.97113804065322,247.74070884787756,3529142
2020-01-24,253.2357177734375,255.09842997246645,247.0887618320955,248.3926831096018,5991335
2020-01-27,244.76039123535156,247.64760106020972,240.56928845102885,247.22850783541833,17151836
2020-01-28,237.72865295410156,243.78246781875058,234.3292087531146,242.89766812328537,11168567
2020-01-29,243.31680297851562,246.43685187828953,240.56929086765462,241.22125156530353,7832991
2020-01-30,239.31198120117188,244.10845983121996,237.72866433017273,243.36335783550598,5511254
2020-01-31,233.49099731445312,241.2212566437663,232.0008359160614,240.42959818645005,6329214
2020-02-03,234.23605346679688,235.63308758290103,227.01804386692538,228.64791700238024,7021154
2020-02-04,240.61587524414062,241.87321177407355,231.62827956326524,235.86595303258017,5839343
2020-02-05,250.7676239013672,253.00287280312827,238.75313618451102,241.68690214449316,7218905
2020-02-06,257.473388671875,258.4513011449528,249.3705797533734,252.4906281724622,8567243
2020-02-07,260.12774658203125,260.77970721917217,254.02737551439003,256.49546348745355,5258442
2020-02-10,258.8238220214844,260.59339270484594,254.4464659545088,257.0542513381228,4972983
2020-02-11,268.9290771484375,273.3530186772863,259.4758183029178,260.8262676107161,10958494
2020-02-12,273.539306640625,275.12259500735126,268.69624339746974,268.83594113236717,9119052
2020-02-13,273.2133483886719,274.37754364478286,268.6031238053781,272.14229443759695,6220243
2020-02-14,269.3016052246094,276.37991712706895,268.5099468709543,271.58343899289787,6086218
2020-02-17,268.3702697753906,270.93149919588285,265.71589905506096,269.30162592829686,6084235
2020-02-18,265.25018310546875,269.3015874766873,261.80418288538533,269.1618897582446,5463097
2020-02-19,261.5713806152344,270.09328370980734,260.68658090295344,267.4854978568752,4952306
2020-02-20,262.4561767578125,266.2281865790698,257.985678180104,261.43170763319284,6960354
2020-02-24,241.17466735839844,258.8704328104039,238.42715556386275,258.8704328104039,10565578
2020-02-25,244.57412719726562,248.48580591801013,240.66242005378749,245.87802010418048,9928181
2020-02-26,242.8976593017578,245.59861472761816,238.0080539923343,238.4271613947002,8111249
2020-02-27,234.79490661621094,241.22125879135623,231.2557501700487,241.22125879135623,10258174
2020-02-28,219.5206298828125,228.6479225032183,216.67999093612045,228.6479225032183,10723581
2020-03-02,218.86868286132812,229.57927798007395,215.0035607421533,225.57444391948707,10865535
2020-03-03,229.53273010253906,232.00083253199202,222.26814898081923,222.82696837916984,11580274
2020-03-04,228.7410888671875,231.7214258709418,220.591722100705,229.62587441670345,10790561
2020-03-05,230.18466186523438,235.4002618782406,227.576876070098,231.62826670913492,7130730
2020-03-06,222.40785217285156,223.52547671414888,212.53547126676315,218.86869594927077,6850161
2020-03-09,213.32713317871094,215.74865068932664,209.64827915641803,213.32713317871094,7888019
2020-03-11,208.15809631347656,212.8148769916304,204.99149113687866,211.41784278818423,10073347
2020-03-12,189.25157165527344,199.58963086798363,185.38644921893052,195.58479647876405,14115039
2020-03-13,200.1484375,202.9890766927289,163.17359997732927,175.09496192971073,12883941
2020-03-16,173.2322540283203,192.9304320679612,169.08772176077653,188.13395329957368,15167108
2020-03-17,164.33778381347656,180.21740843234684,163.12701802049497,175.9331646145248,14096871
2020-03-18,153.0684051513672,168.71517875971423,145.71068226015373,167.69069541301238,18951014
2020-03-19,152.0904541015625,157.11977136129133,141.28671764783195,146.967995547208,12583063
2020-03-20,163.6858367919922,166.80588545379723,153.34777825742503,155.53647080661563,7449415
2020-03-23,134.4878387451172,152.97526625742677,126.75759312829656,147.34055802180487,7422941
2020-03-24,137.00250244140625,144.36021072272717,130.71584810348102,139.0049125830131,6487043
2020-03-25,141.37986755371094,145.29156057301878,132.76482309665695,135.04664284030594,4384700
2020-03-26,139.51715087890625,146.64201957673768,134.58096055603107,140.63477539073145,8021131
2020-03-27,141.0538787841797,145.71065929347162,136.16425924942314,141.65926877720742,6108830
2020-03-30,132.62509155273438,138.25979831555193,127.13009671972453,138.25979831555193,11851157
2020-03-31,136.21084594726562,141.93868096409062,134.58097257695647,135.93143624151045,9965197
2020-04-01,133.18392944335938,135.93142724344898,129.5050754933162,135.93142724344898,5967565
2020-04-03,131.04180908203125,137.98040964299926,123.40469139993158,133.41677013615245,18559602
2020-04-07,147.24740600585938,148.87727919094664,135.465742741123,137.88727430065634,16440328
2020-04-08,143.98768615722656,159.02908435129325,141.70585190871313,144.36022298360442,15245833
2020-04-09,154.88453674316406,158.33055179285262,147.15427754865127,148.08563373566804,15243084
2020-04-13,156.141845703125,160.56578721276676,150.0880310057205,156.0021479715776,11554655
2020-04-15,159.6344451904297,162.94076250531796,154.46542970797117,158.33055220972022,17616485
2020-04-16,158.9359130859375,162.6147810571015,155.9090057551196,157.67859087534063,10428942
2020-04-17,165.1294403076172,167.50440121834296,158.6565182182258,162.9873184232103,10104852
2020-04-20,156.00213623046875,170.4381548070196,154.6982434629393,170.4381548070196,12629035
2020-04-21,148.6444549560547,153.11495333948702,146.03665475814066,152.74241654465692,10887919
2020-04-22,150.13462829589844,151.81107242879696,144.82590038452716,147.15429106595045,7765209
2020-04-23,148.97039794921875,154.8845145748464,147.80620288207675,151.25221743854397,7114946
2020-04-24,142.7303466796875,148.55132329794554,142.12497079593612,146.68861078010298,8447036
2020-04-27,146.50233459472656,149.6223693696904,144.3602124706307,145.29156868011864,9745004
2020-04-28,148.45819091796875,149.29642012824257,146.22294144664428,148.45819091796875,8025743
2020-04-29,152.8355255126953,154.9776329468012,148.08560422105884,149.76204786583435,11842945
2020-04-30,168.24948120117188,175.7469009791222,156.00215363054454,157.02665107027698,16023589
2020-05-04,152.3232879638672,159.21531719157886,151.20566352307148,159.21531719157886,10646028
2020-05-05,152.64926147460938,159.86727136163475,151.6247782755289,156.00214917119357,12995347
2020-05-06,154.41883850097656,157.6785847302013,151.95073640060124,154.13942883905557,8720744
2020-05-07,160.3795166015625,162.05596041363194,151.34536532882294,152.92866784691276,11944061
2020-05-08,157.07321166992188,164.47750455676265,156.0021577638513,163.49957774044717,9045606
2020-05-11,162.56820678710938,164.29120701020642,157.1663386748273,158.3305337761223,9199262
2020-05-12,165.9676513671875,167.27155841192655,155.58303671258975,160.19324648724603,11889850
2020-05-13,169.83277893066406,176.02629088849076,168.20290586688174,176.02629088849076,10377139
2020-05-14,163.17356872558594,168.01661709423115,162.2422127234863,166.71272437583755,5808584
2020-05-15,162.33538818359375,167.08529626744854,161.35746133323994,164.7569057720194,11548870
2020-05-18,152.0438995361328,164.10495947482661,150.97284559148207,163.73242267965273,8130435
2020-05-19,157.67860412597656,161.07804849863874,154.5119845869612,155.53648206957124,11001274
2020-05-20,159.3084716796875,161.12461332284502,156.74724227715672,157.67859842353155,10091863
2020-05-21,158.23741149902344,162.84763602325987,157.35262595798685,160.1932651887824,11065823
2020-05-22,154.74481201171875,157.86486066516383,152.27672400445007,156.84036325948642,10228048
2020-05-26,164.1515350341797,166.01424748846824,156.46784616023936,156.46784616023936,30383793
2020-05-27,172.1146240234375,176.02631711709958,162.19567223049478,163.96525749023846,20403834
2020-05-28,171.5092315673828,175.79347559762004,170.62444605565497,173.41851454197476,14270125
2020-05-29,171.5557861328125,172.71998122629162,167.6906641070081,168.5754495357791,13458899
2020-06-01,180.6365203857422,185.71240850295675,174.30329579585086,175.09495419884985,17324578
2020-06-02,178.96006774902344,184.17566755913842,177.28363814918364,181.61443830104673,14155546
2020-06-03,179.47232055664062,184.2222424287039,178.401266708708,181.61444246387242,11567639
2020-06-04,178.82037353515625,181.80071025180223,176.77139293067253,179.7517296473185,10238285
2020-06-05,183.52374267578125,188.50648983588908,180.72967406628862,182.4992451677535,26006736
2020-06-08,181.56787109375,188.1339345220657,179.05321243498577,188.1339345220657,13522911
2020-06-09,177.0042266845703,185.2467195047874,175.65376320444767,182.49922189804838,8055268
2020-06-10,177.8424530029297,178.72723849819462,171.8817793609025,175.09495521811039,11823033
2020-06-11,171.97491455078125,177.7493342895425,170.95043127008026,175.09496346732587,6481994
2020-06-12,175.97975158691406,177.1439468398195,163.40644285553523,164.85004781141154,9000558
2020-06-15,171.1366729736328,173.6513314485233,167.59751716646284,173.18565342682635,12059372
2020-06-16,177.0042266845703,182.49922189804838,172.9993926793301,176.0262999536656,23464025
2020-06-17,178.68067932128906,181.10219673377333,173.0459718894807,175.79346963218723,11912711
2020-06-18,180.124267578125,180.72965758178432,175.09495022431366,176.0263063425281,8868746
2020-06-19,180.96250915527344,183.80314835500783,179.47233357828793,181.7075969437662,18204886
2020-06-22,184.36195373535156,186.17809545143305,179.75174346795473,181.5213145325741,11091702
